sample	hier_label	hier_label16	hier_label32	branch_length	label	color	annotation_name
n1034	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFFE0	VVVU0	3.06000e-08	81	#33ffff	
n1035	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFFE0	VVVU0	1.52890e-06	92	#33ffff	
2024.EXT.0725.1356.520_Bme_Germany	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1	FFFFE0	VVVU0	3.36360e-06		#33ffff	
n1037	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2	FFFFE2	VVVU4	3.06000e-08	83	#33ffff	
2024.EXT.0725.2102.270_Bme_Syria	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.1	FFFFE2	VVVU4	1.52890e-06		#33ffff	
2024.EXT.0725.2308.310_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2.2	FFFFE3	VVVU6	1.52890e-06		#33ffff	
2024.EXT.0725.2304.540_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFFE4	VVVU8	3.66940e-06		#33ffff	
2024.EXT.0725.2300.410_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFFE8	VVVUG	3.66940e-06		#33ffff	
n1042	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFF	VVVV	6.11600e-07	99	#33ffff	
n1043	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFFF0	VVVV0	3.05800e-07	81	#33ffff	
n1044	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFFF0	VVVV0	3.05800e-07	98	#33ffff	
n1045	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFFF0	VVVV0	2.44620e-06	100	#33ffff	
2024.EXT.0725.1915.210_Bme_Iraq	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.1	FFFFF0	VVVV0	3.66940e-06		#33ffff	
2024.EXT.0725.2309.110_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1.2	FFFFF1	VVVV2	4.28090e-06		#33ffff	
2024.EXT.0725.2106.000_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFFF2	VVVV4	4.58670e-06		#33ffff	
2024.EXT.0725.2302.440_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFFF4	VVVV8	2.44620e-06		#33ffff	
n1050	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFF8	VVVVG	1.22310e-06	99	#33ffff	
n1051	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFFF8	VVVVG	3.05800e-07	66	#33ffff	
n1052	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1	FFFFF8	VVVVG	3.06000e-08	47	#33ffff	
2024.EXT.0725.2056.440_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.1	FFFFF8	VVVVG	2.14050e-06		#33ffff	
2024.EXT.0725.2306.380_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2	FFFFF9	VVVVI	1.83470e-06		#33ffff	
2024.EXT.0725.2059.080_Bme_Turkey	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2	FFFFFA	VVVVK	3.66940e-06		#33ffff	
n1056	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFFC	VVVVO	6.11600e-07	98	#33ffff	
2024.EXT.0725.1319.260_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1	FFFFFC	VVVVO	2.75200e-06		#33ffff	
2024.EXT.0725.2304.480_Bme_Sweden	2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2	FFFFFE	VVVVS	1.52890e-06		#33ffff	
